TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,EFG_PCT_ON,EFG_PCT_OFF,EFG_PCT_DIFF,FTA_RATE_ON,FTA_RATE_OFF,FTA_RATE_DIFF,TM_TOV_PCT_ON,TM_TOV_PCT_OFF,TM_TOV_PCT_DIFF,OREB_PCT_ON,OREB_PCT_OFF,OREB_PCT_DIFF,OPP_EFG_PCT_ON,OPP_EFG_PCT_OFF,OPP_EFG_PCT_DIFF,OPP_FTA_RATE_ON,OPP_FTA_RATE_OFF,OPP_FTA_RATE_DIFF,OPP_TOV_PCT_ON,OPP_TOV_PCT_OFF,OPP_TOV_PCT_DIFF,OPP_OREB_PCT_ON,OPP_OREB_PCT_OFF,OPP_OREB_PCT_DIFF
Atlanta Hawks,"Babbitt, Luke",30.0,40,-10.0,6.0,10,-4.0,24.0,30,-6.0,0.2,0.25,-0.05,516.0,1409.0,-893.0,0.525,0.512,0.013,0.261,0.231,0.03,0.151,0.157,-0.006,0.193,0.242,-0.049,0.55,0.543,0.007,0.222,0.253,-0.031,0.156,0.17,-0.014,0.254,0.263,-0.009
Atlanta Hawks,"Bazemore, Kent",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,1133.0,792.0,341.0,0.526,0.5,0.026,0.227,0.256,-0.029,0.162,0.146,0.016,0.219,0.242,-0.023,0.545,0.544,0.001,0.243,0.248,-0.005,0.172,0.159,0.013,0.261,0.259,0.002
Atlanta Hawks,"Belinelli, Marco",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,940.0,985.0,-45.0,0.5,0.531,-0.031,0.234,0.244,-0.01,0.154,0.156,-0.002,0.238,0.219,0.019,0.553,0.537,0.016,0.271,0.22,0.051,0.163,0.169,-0.006,0.277,0.246,0.031
Atlanta Hawks,"Bembry, DeAndre'",18.0,40,-22.0,5.0,10,-5.0,13.0,30,-17.0,0.278,0.25,0.028,311.0,1614.0,-1303.0,0.5,0.518,-0.018,0.287,0.23,0.057,0.159,0.154,0.005,0.224,0.23,-0.006,0.564,0.541,0.023,0.241,0.246,-0.005,0.179,0.164,0.015,0.267,0.259,0.008
Atlanta Hawks,"Brussino, Nicolas",4.0,40,-36.0,0.0,10,-10.0,4.0,30,-26.0,0.0,0.25,-0.25,10.0,1915.0,-1905.0,0.575,0.515,0.06,0.1,0.24,-0.14,0.091,0.155,-0.064,0.2,0.229,-0.029,0.176,0.547,-0.371,0.235,0.245,-0.01,0.101,0.167,-0.066,0.077,0.262,-0.185
Atlanta Hawks,"Cavanaugh, Tyler",28.0,32,-4.0,8.0,9,-1.0,20.0,23,-3.0,0.286,0.281,0.005,407.0,1134.0,-727.0,0.529,0.521,0.008,0.224,0.248,-0.024,0.133,0.167,-0.034,0.248,0.235,0.013,0.568,0.545,0.023,0.253,0.225,0.028,0.173,0.168,0.005,0.224,0.274,-0.05
Atlanta Hawks,"Collins, John",34.0,40,-6.0,8.0,10,-2.0,26.0,30,-4.0,0.235,0.25,-0.015,760.0,1165.0,-405.0,0.489,0.533,-0.044,0.245,0.235,0.01,0.153,0.156,-0.003,0.259,0.208,0.051,0.544,0.545,-0.001,0.242,0.247,-0.005,0.182,0.156,0.026,0.305,0.232,0.073
Atlanta Hawks,"Dedmon, Dewayne",21.0,40,-19.0,4.0,10,-6.0,17.0,30,-13.0,0.19,0.25,-0.06,507.0,1418.0,-911.0,0.533,0.509,0.024,0.183,0.259,-0.076,0.168,0.15,0.018,0.186,0.244,-0.058,0.537,0.547,-0.01,0.247,0.244,0.003,0.146,0.174,-0.028,0.233,0.271,-0.038
Atlanta Hawks,"Delaney, Malcolm",32.0,40,-8.0,6.0,10,-4.0,26.0,30,-4.0,0.188,0.25,-0.062,607.0,1318.0,-711.0,0.496,0.524,-0.028,0.269,0.226,0.043,0.149,0.158,-0.009,0.235,0.226,0.009,0.532,0.55,-0.018,0.295,0.222,0.073,0.171,0.164,0.007,0.286,0.249,0.037
Atlanta Hawks,"Dorsey, Tyler",14.0,40,-26.0,1.0,10,-9.0,13.0,30,-17.0,0.071,0.25,-0.179,91.0,1834.0,-1743.0,0.463,0.518,-0.055,0.459,0.229,0.23,0.141,0.156,-0.015,0.232,0.229,0.003,0.49,0.547,-0.057,0.221,0.246,-0.025,0.137,0.168,-0.031,0.154,0.266,-0.112
