球员,球队,对阵,时间,状态,首发,出场时间,三分球命中,三分球出手,两分球命中,两分球出手,罚球命中,罚球出手,进攻,篮板,助攻,抢断,盖帽,失误,犯规,得分,编号
易建联,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,35.8,0,0,7,8,2,4,1,12,2,1,2,1,2,16,100004
任骏飞,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,30.2,3,6,5,8,0,0,1,2,1,3,0,0,3,19,500672
马尚-布鲁克斯,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,36.6,2,10,8,10,5,5,0,3,9,2,0,1,3,27,503170
赵睿,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,31.2,0,3,5,9,0,1,2,7,4,2,0,0,3,10,501938
胡明轩,广东,辽宁,2019-11-01 19:35,107:98(已结束),1,13.4,1,3,0,1,0,0,0,1,0,0,0,1,1,3,502738
苏伟,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,4.0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,101763
王薪凯,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,9.9,0,1,0,0,1,2,0,1,1,0,0,0,1,1,501675
曾繁日,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,11.2,0,0,2,3,2,4,1,1,0,0,1,0,3,6,503258
克拉伦斯-威姆斯,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,31.9,1,5,5,9,1,2,0,7,3,1,0,3,2,14,504152
杜润旺,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,14.8,0,2,2,2,2,2,2,2,0,0,0,4,4,6,502847
徐杰,广东,辽宁,2019-11-01 19:35,107:98(已结束),0,21.0,1,3,0,1,2,2,0,0,1,2,0,0,2,5,100000437
韩德君,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,24.2,0,0,4,6,2,3,3,9,0,0,1,2,4,10,500345
布兰登-巴斯,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,30.6,0,0,5,15,10,11,3,12,1,1,2,0,2,20,504142
刘志轩,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,16.9,1,1,1,1,0,0,1,2,0,0,0,1,3,5,501170
郭艾伦,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,30.2,0,2,4,8,4,4,0,4,5,0,0,6,4,12,501070
赵继伟,辽宁,广东,2019-11-01 19:35,107:98(已结束),1,33.1,0,3,1,2,2,2,0,3,1,2,0,0,2,4,501736
李晓旭,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,28.9,0,0,3,8,0,0,2,4,2,1,1,0,0,6,100130
丛明晨,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,12.9,2,2,0,0,0,0,1,3,0,0,0,0,1,6,501739
贺天举,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,12.3,0,2,0,0,1,2,2,2,0,0,0,1,2,1,500678
高诗岩,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,9.4,0,1,0,1,0,0,0,1,0,1,0,0,3,0,501726
兰斯-史蒂芬森,辽宁,广东,2019-11-01 19:35,107:98(已结束),0,41.4,3,11,10,17,5,7,1,3,3,2,0,3,2,34,100000374
柳伟,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,14.9,0,1,1,4,0,2,1,3,1,0,0,0,3,2,100164
米罗斯拉夫-拉杜利察,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,27.3,0,0,4,5,2,2,3,7,8,2,0,3,5,10,502303
易立,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,29.5,0,4,3,6,3,4,0,2,4,1,1,2,3,9,100019
黄荣奇,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,13.8,1,2,3,3,0,0,2,3,1,0,0,1,4,9,502861
史鸿飞,江苏,浙江,2019-11-02 19:35,96:97(已结束),1,32.0,2,5,0,1,1,2,0,0,3,3,0,3,4,7,501345
吴冠希,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,31.9,0,1,6,9,3,5,1,9,0,1,2,2,5,15,501882
侯逸凡,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,16.9,1,2,0,0,0,0,0,0,0,0,0,0,1,3,504101
赵率舟,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,21.9,1,2,0,1,0,0,1,2,2,1,0,0,3,3,501737
安东尼奥-布莱克尼,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,35.9,3,7,9,16,7,8,1,4,3,0,3,3,3,34,100026409
王洪,江苏,浙江,2019-11-02 19:35,96:97(已结束),0,16.1,0,1,1,2,2,2,0,2,0,0,0,0,1,4,503544
张大宇,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,28.1,1,2,2,5,0,0,2,7,3,2,0,1,4,7,100085
朱旭航,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,36.1,4,9,3,4,0,0,1,6,1,2,0,4,5,18,501546
吴前,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,33.0,0,2,1,3,6,8,0,2,6,1,0,3,6,8,501409
程帅澎,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,14.2,0,2,0,0,0,0,0,1,0,0,0,0,6,0,504070
马库斯-邓蒙,浙江,江苏,2019-11-02 19:35,96:97(已结束),1,37.6,3,6,2,8,10,12,1,3,3,0,0,2,1,23,503425
张正昕,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,3.6,0,0,0,1,0,0,0,0,0,0,0,1,1,0,501991
刘泽一,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,28.2,0,0,4,9,0,1,2,5,0,2,0,2,4,8,502908
西尔文-兰兹博格,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,34.4,4,8,7,14,7,8,6,14,4,1,0,1,1,33,100026427
王奕博,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,24.6,0,1,0,0,0,0,1,1,2,1,0,1,1,0,502911
林孝天,浙江,江苏,2019-11-02 19:35,96:97(已结束),0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502907
李原宇,四川,新疆,2019-11-02 19:35,87:134(已结束),1,33.5,0,4,5,16,3,4,3,8,0,2,0,2,6,13,501166
左朕年,四川,新疆,2019-11-02 19:35,87:134(已结束),1,29.2,1,3,2,5,3,3,2,5,3,1,0,1,2,10,502024
托马斯-罗宾逊,四川,新疆,2019-11-02 19:35,87:134(已结束),1,35.3,0,2,8,16,6,6,6,15,4,0,2,3,5,22,100016394
孟达,四川,新疆,2019-11-02 19:35,87:134(已结束),1,28.0,2,6,2,7,0,0,0,3,4,1,0,2,1,10,100026
王政博,四川,新疆,2019-11-02 19:35,87:134(已结束),1,16.4,1,4,0,0,2,2,0,0,1,2,0,0,5,5,501734
张松涛,四川,新疆,2019-11-02 19:35,87:134(已结束),0,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101677
于刚,四川,新疆,2019-11-02 19:35,87:134(已结束),0,3.3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,501021
闵庆飞,四川,新疆,2019-11-02 19:35,87:134(已结束),0,10.8,0,2,2,4,0,0,1,2,0,0,0,0,4,4,501673
陈辰,四川,新疆,2019-11-02 19:35,87:134(已结束),0,27.1,2,3,1,5,1,1,2,7,0,1,0,2,4,9,502296
考特尼-福特森,四川,新疆,2019-11-02 19:35,87:134(已结束),0,27.2,1,3,2,7,7,7,0,2,3,1,0,2,3,14,503548
胡林森,四川,新疆,2019-11-02 19:35,87:134(已结束),0,15.3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,502860
袁堂文,四川,新疆,2019-11-02 19:35,87:134(已结束),0,8.9,0,2,0,1,0,2,0,0,1,0,0,2,1,0,100016831
周琦,新疆,四川,2019-11-02 19:35,87:134(已结束),1,27.3,3,7,5,7,8,11,2,12,2,1,5,2,4,27,501738
范子铭,新疆,四川,2019-11-02 19:35,87:134(已结束),1,15.9,0,0,3,3,5,6,5,8,3,0,0,0,2,11,501725
阿不都沙拉木-阿不都热西提,新疆,四川,2019-11-02 19:35,87:134(已结束),1,27.6,0,2,4,6,2,2,0,4,3,1,0,0,0,10,501983
西热力江-木合塔尔,新疆,四川,2019-11-02 19:35,87:134(已结束),1,26.1,5,8,1,1,0,0,1,4,2,0,0,1,2,17,500555
凯-费尔德,新疆,四川,2019-11-02 19:35,87:134(已结束),1,24.9,2,4,4,9,5,5,0,6,8,1,1,5,1,19,100023572
贾内尔-斯托克斯,新疆,四川,2019-11-02 19:35,87:134(已结束),0,31.2,1,2,6,12,2,5,2,9,3,1,1,2,5,17,504151
俞长栋,新疆,四川,2019-11-02 19:35,87:134(已结束),0,23.8,2,2,1,3,2,6,2,4,0,1,0,0,4,10,501179
可兰白克-马坎,新疆,四川,2019-11-02 19:35,87:134(已结束),0,5.1,2,3,0,0,0,0,0,2,0,0,1,0,2,6,501464
唐才育,新疆,四川,2019-11-02 19:35,87:134(已结束),0,25.3,0,4,1,2,3,4,1,2,1,0,0,0,2,5,502749
齐麟,新疆,四川,2019-11-02 19:35,87:134(已结束),0,9.2,0,0,1,2,0,0,1,1,1,0,0,0,0,2,502784
曾令旭,新疆,四川,2019-11-02 19:35,87:134(已结束),0,13.8,0,1,2,3,2,2,1,3,2,2,0,0,0,6,501329
西尔扎提-赛买提,新疆,四川,2019-11-02 19:35,87:134(已结束),0,9.2,0,0,2,3,0,0,0,3,1,0,0,1,4,4,100016514
陶汉林,山东,八一,2019-11-02 19:35,108:95(已结束),1,28.0,0,0,4,7,4,8,1,7,0,0,3,0,6,12,500684
李敬宇,山东,八一,2019-11-02 19:35,108:95(已结束),1,26.8,0,1,1,2,0,2,0,3,2,0,0,0,3,2,500331
詹姆斯-梅斯,山东,八一,2019-11-02 19:35,108:95(已结束),1,17.7,2,2,7,12,3,7,1,9,1,2,2,1,3,23,100012421
张庆鹏,山东,八一,2019-11-02 19:35,108:95(已结束),1,36.2,2,5,1,2,1,2,0,3,9,3,0,4,5,9,100126
陈培东,山东,八一,2019-11-02 19:35,108:95(已结束),1,18.0,1,2,1,3,0,0,0,0,1,1,0,2,0,5,502890
贾诚,山东,八一,2019-11-02 19:35,108:95(已结束),0,29.9,0,1,7,8,1,1,4,9,1,0,1,3,4,15,501161
朱荣振,山东,八一,2019-11-02 19:35,108:95(已结束),0,16.1,0,0,5,9,1,3,1,3,0,0,2,3,3,11,504067
刘大鹏,山东,八一,2019-11-02 19:35,108:95(已结束),0,15.0,0,2,0,0,0,0,0,0,2,1,0,1,1,0,500602
侯沛佐,山东,八一,2019-11-02 19:35,108:95(已结束),0,22.1,0,0,0,2,0,0,0,3,2,0,0,1,0,0,100012178
莱斯特-哈德森,山东,八一,2019-11-02 19:35,108:95(已结束),0,30.3,7,14,3,4,4,4,1,12,8,4,0,1,3,31,501217
许钟豪,八一,山东,2019-11-02 19:35,108:95(已结束),1,31.5,0,1,2,7,0,1,2,8,1,0,1,0,3,4,500535
刘航初,八一,山东,2019-11-02 19:35,108:95(已结束),1,26.5,3,8,5,7,0,0,0,3,1,0,0,4,5,19,501144
雷蒙,八一,山东,2019-11-02 19:35,108:95(已结束),1,31.4,1,3,2,9,2,2,3,10,2,3,0,2,2,9,501772
田宇翔,八一,山东,2019-11-02 19:35,108:95(已结束),1,27.8,0,1,1,4,7,8,0,1,1,2,1,1,1,9,501335
王俊杰,八一,山东,2019-11-02 19:35,108:95(已结束),1,32.7,0,1,3,6,4,4,0,1,4,3,0,0,1,10,100016488
余晨,八一,山东,2019-11-02 19:35,108:95(已结束),0,16.5,0,1,1,2,0,0,0,4,1,0,0,1,5,2,501153
付豪,八一,山东,2019-11-02 19:35,108:95(已结束),0,20.0,0,1,3,8,4,6,3,3,1,0,0,1,2,10,501770
宁鸿宇,八一,山东,2019-11-02 19:35,108:95(已结束),0,1.5,0,1,1,1,1,2,1,1,0,0,0,0,0,3,501779
罗凯文,八一,山东,2019-11-02 19:35,108:95(已结束),0,15.5,0,1,1,2,0,0,1,3,0,0,1,1,1,2,501777
阿尔斯兰,八一,山东,2019-11-02 19:35,108:95(已结束),0,20.2,2,4,2,4,4,4,0,1,2,1,0,1,2,14,501769
郭昊文,八一,山东,2019-11-02 19:35,108:95(已结束),0,16.4,0,1,4,8,5,8,0,2,1,0,0,0,4,13,502759
桑尼-萨卡基尼,北控,深圳,2019-11-02 19:35,108:103(已结束),1,30.8,0,1,5,11,8,8,3,12,1,0,0,1,1,18,501255
许梦君,北控,深圳,2019-11-02 19:35,108:103(已结束),1,5.5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,502697
王少杰,北控,深圳,2019-11-02 19:35,108:103(已结束),1,24.8,0,0,6,8,0,0,2,3,0,2,1,0,0,12,100012401
孙悦,北控,深圳,2019-11-02 19:35,108:103(已结束),1,31.3,3,9,2,4,0,0,1,5,4,2,1,0,4,13,101492
凯尔-弗格,北控,深圳,2019-11-02 19:35,108:103(已结束),1,38.8,4,9,5,12,13,15,0,9,10,1,0,3,5,35,100002143
杰森-汤普森,北控,深圳,2019-11-02 19:35,108:103(已结束),0,30.0,0,0,3,9,5,6,0,7,0,0,2,1,3,11,502304
孙桐林,北控,深圳,2019-11-02 19:35,108:103(已结束),0,14.0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,501177
高尚,北控,深圳,2019-11-02 19:35,108:103(已结束),0,10.7,0,1,0,1,0,0,1,2,1,1,0,0,2,0,501401
