TEAM_NAME,G_ON_MADE,PLAYER_NAME,FREQUENCY_ON_MADE,PASS_ON_MADE,AST_ON_MADE,FGM_ON_MADE,FGA_ON_MADE,FG_PCT_ON_MADE,FG2M_ON_MADE,FG2A_ON_MADE,FG2_PCT_ON_MADE,FG3M_ON_MADE,FG3A_ON_MADE,FG3_PCT_ON_MADE,G_ON_RECEIVED,FREQUENCY_ON_RECEIVED,PASS_ON_RECEIVED,AST_ON_RECEIVED,FGM_ON_RECEIVED,FGA_ON_RECEIVED,FG_PCT_ON_RECEIVED,FG2M_ON_RECEIVED,FG2A_ON_RECEIVED,FG2_PCT_ON_RECEIVED,FG3M_ON_RECEIVED,FG3A_ON_RECEIVED,FG3_PCT_ON_RECEIVED
Atlanta Hawks,21.0,"Schroder, Dennis",0.182,65.9,6.43,7.48,18.81,0.397,4.57,11.29,0.405,2.9,7.52,0.386,21.0,0.232,84.0,1.48,7.57,17.43,0.434,6.48,14.14,0.458,1.1,3.29,0.333
Atlanta Hawks,23.0,"Bazemore, Kent",0.111,36.83,3.3,4.7,10.65,0.441,3.57,7.87,0.453,1.13,2.78,0.406,23.0,0.111,36.7,1.96,3.35,9.91,0.338,2.17,6.39,0.34,1.17,3.52,0.333
Atlanta Hawks,23.0,"Belinelli, Marco",0.095,31.43,2.52,3.87,8.52,0.454,2.78,5.74,0.485,1.09,2.78,0.391,23.0,0.1,32.96,3.13,3.91,10.17,0.385,1.87,5.13,0.364,2.04,5.04,0.405
Atlanta Hawks,19.0,"Dedmon, Dewayne",0.077,30.95,1.26,2.68,6.37,0.421,1.84,4.16,0.443,0.84,2.21,0.381,19.0,0.064,25.58,3.79,4.0,7.16,0.559,3.26,5.63,0.579,0.74,1.53,0.483
Atlanta Hawks,20.0,"Collins, John",0.081,30.95,0.85,1.7,4.6,0.37,1.2,3.35,0.358,0.5,1.25,0.4,20.0,0.061,23.25,3.55,3.9,7.05,0.553,3.9,7.0,0.557,0.0,0.05,0.0
Atlanta Hawks,17.0,"Delaney, Malcolm",0.069,30.76,2.0,2.76,7.71,0.359,1.94,5.35,0.363,0.82,2.35,0.35,17.0,0.072,32.24,1.18,1.71,4.82,0.354,1.06,3.0,0.353,0.65,1.82,0.355
Atlanta Hawks,23.0,"Prince, Taurean",0.093,30.7,2.26,3.83,7.65,0.5,2.74,5.48,0.5,1.09,2.17,0.5,23.0,0.099,32.91,2.87,4.39,10.96,0.401,2.7,7.0,0.385,1.7,3.96,0.429
Atlanta Hawks,13.0,"Ilyasova, Ersan",0.05,29.31,0.77,2.0,6.15,0.325,1.69,4.69,0.361,0.31,1.46,0.211,13.0,0.036,21.08,2.23,2.31,6.31,0.366,1.46,2.92,0.5,0.85,3.38,0.25
Atlanta Hawks,17.0,"Taylor, Isaiah",0.062,27.59,2.18,3.12,7.88,0.396,1.88,4.71,0.4,1.24,3.18,0.389,17.0,0.071,31.82,0.94,2.0,5.0,0.4,1.59,3.94,0.403,0.41,1.06,0.389
Atlanta Hawks,19.0,"Babbitt, Luke",0.064,25.58,0.89,2.37,5.26,0.45,1.95,3.89,0.5,0.42,1.37,0.308,19.0,0.049,19.68,2.42,2.89,5.89,0.491,1.11,2.16,0.512,1.79,3.74,0.479
